text,label
你好 謝謝,聊天
你好,聊天
我想知道一些資訊 謝謝,模糊
可以我想要資訊嗎,模糊
午安 謝謝,聊天
可以今天天氣不錯嗎,聊天
你好 謝謝,聊天
可以顯示隱藏檔案嗎,操作
怎麼切回家目錄 謝謝,教學
怎麼看目前時間,教學
怎麼看目前時間 謝謝,教學
請幫我顯示東西,模糊
查看當前資料夾要怎麼做 謝謝,教學
我想我想要資訊,模糊
我想我要用一下,模糊
如何檢查磁碟空間,教學
請幫我你好,聊天
能不能查看記憶體,操作
幫我一下一下,模糊
我想晚安,聊天
請幫我我要查東西,模糊
我想知道一些資訊一下,模糊
你好 謝謝,聊天
能不能我要用一下,模糊
系統運作時間,操作
我想我要用一下,模糊
如何重開機 謝謝,教學
我有點想睡 謝謝,聊天
目前在哪裡 謝謝,操作
顯示磁碟空間,操作
可以如何重開機嗎,教學
重啟系統 謝謝,操作
能不能查一下一下,模糊
請幫我查看當前資料夾要怎麼做,教學
能不能能不能查一下,模糊
請幫我請教我查詢登入使用者的方法,教學
可以幫忙嗎一下,模糊
我想切換到家目錄,操作
切換到家目錄 謝謝,操作
可以系統運作時間嗎,操作
可以我想知道一些資訊嗎,模糊
今天天氣不錯,聊天
能不能請教我查詢登入使用者的方法,教學
請幫我列出資料夾,操作
怎麼看目前時間 謝謝,教學
列出資料夾,操作
請幫我目前在哪裡,操作
我想幫我一下,模糊
午安 謝謝,聊天
查看系統時間,操作
怎麼切回家目錄 謝謝,教學
請幫我可以幫忙嗎,模糊
能不能我今天很累,聊天
請幫我教我怎麼查看記憶體,教學
可以幫忙嗎 謝謝,模糊
可以顯示目前目錄嗎,操作
請幫我你會不會用指令,模糊
我想我今天很累,聊天
如何重開機,教學
請教我查詢登入使用者的方法,教學
請幫我午安,聊天
你會不會用指令 謝謝,模糊
查看當前資料夾要怎麼做一下,教學
能不能幫我操作一下,模糊
請幫我幫我一下,模糊
能不能顯示磁碟空間,操作
我想知道一些資訊 謝謝,模糊
請幫我查看記憶體,操作
可以我有點想睡嗎,聊天
切換到家目錄 謝謝,操作
你可以幫我什麼,聊天
我要用一下,模糊
我想要資訊 謝謝,模糊
我想如何檢查磁碟空間,教學
如何檢查磁碟空間 謝謝,教學
你會不會用指令,模糊
怎麼看目前時間一下,教學
幫我操作一下,模糊
我想你會什麼,聊天
我今天很累 謝謝,聊天
請幫我幫我操作一下,模糊
可以目前在哪裡嗎,操作
我想查看記憶體,操作
如何重開機 謝謝,教學
可以早安嗎,聊天
午安,聊天
能不能能不能查一下,模糊
可以怎麼看目前時間嗎,教學
請教我查詢登入使用者的方法,教學
如何重開機 謝謝,教學
查看記憶體一下,操作
重啟系統 謝謝,操作
請幫我能不能查一下,模糊
我想幫我一下,模糊
查看系統時間,操作
可以查看當前資料夾要怎麼做嗎,教學
請幫我顯示目前目錄,操作
可以可以幫忙嗎嗎,模糊
可以怎麼看目前時間嗎,教學
怎麼切回家目錄 謝謝,教學
我想要資訊 謝謝,模糊
能不能顯示目前目錄,操作
能不能能不能查一下,模糊
能不能你是誰,聊天
我想你喜歡Linux嗎,聊天
可以列出資料夾嗎,操作
午安 謝謝,聊天
教我怎麼查看記憶體 謝謝,教學
查看目前登入者一下,操作
我想查看當前資料夾要怎麼做,教學
請幫我查看當前資料夾要怎麼做,教學
顯示東西 謝謝,模糊
顯示東西一下,模糊
請教我查詢登入使用者的方法 謝謝,教學
檢查磁碟空間一下,操作
可以查看目前登入者嗎,操作
能不能顯示磁碟空間,操作
我要用一下一下,模糊
請教我查詢登入使用者的方法 謝謝,教學
顯示磁碟空間,操作
顯示磁碟空間 謝謝,操作
請幫我晚安,聊天
請幫我教我怎麼查看記憶體,教學
請幫我我想知道一些資訊,模糊
查看記憶體 謝謝,操作
能不能查看當前資料夾要怎麼做,教學
請幫我我想知道一些資訊,模糊
能不能查看記憶體,操作
怎麼列出檔案,教學
可以顯示目前目錄嗎,操作
教我怎麼查看記憶體 謝謝,教學
目前在哪裡,操作
我想如何重開機,教學
我想重啟系統,操作
能不能能不能查一下,模糊
我想你喜歡Linux嗎,聊天
重啟系統,操作
能不能教我怎麼查看記憶體,教學
請幫我教我怎麼查看記憶體,教學
你會什麼 謝謝,聊天
查看系統時間 謝謝,操作
我想你是誰,聊天
如何重開機 謝謝,教學
請幫我檢查磁碟空間,操作
能不能查一下,模糊
可以檢查磁碟空間嗎,操作
我今天很累,聊天
我想要資訊 謝謝,模糊
顯示目前目錄一下,操作
列出資料夾 謝謝,操作
能不能如何檢查磁碟空間,教學
查看當前資料夾要怎麼做,教學
你可以幫我什麼 謝謝,聊天
請教我查詢登入使用者的方法 謝謝,教學
請幫我顯示磁碟空間,操作
能不能查看系統時間,操作
能不能檢查磁碟空間,操作
請幫我切換到家目錄,操作
可以列出資料夾嗎,操作
你會不會用指令一下,模糊
能不能顯示隱藏檔案,操作
請幫我午安,聊天
你會什麼 謝謝,聊天
我要用一下 謝謝,模糊
切換到家目錄一下,操作
幫我一下 謝謝,模糊
可以晚安嗎,聊天
請幫我教我怎麼查看記憶體,教學
能不能你可以幫我什麼,聊天
你吃飯了嗎,聊天
能不能跟我聊聊天,聊天
可以如何檢查運作時間嗎,教學
可以查看當前資料夾要怎麼做嗎,教學
切換到家目錄 謝謝,操作
幫我操作一下,模糊
列出資料夾 謝謝,操作
可以如何檢查運作時間嗎,教學
跟我聊聊天,聊天
今天天氣不錯 謝謝,聊天
我想知道一些資訊 謝謝,模糊
能不能幫我操作一下,模糊
請幫我幫我操作一下,模糊
目前時間,操作
我要查東西一下,模糊
我想重啟系統,操作
目前在哪裡,操作
能不能如何檢查磁碟空間,教學
顯示目前目錄一下,操作
幫我一下,模糊
能不能可以幫忙嗎,模糊
可以可以幫忙嗎嗎,模糊
請幫我怎麼列出檔案,教學
我今天很累,聊天
我想請教我查詢登入使用者的方法,教學
跟我聊聊天 謝謝,聊天
目前時間 謝謝,操作
我想目前在哪裡,操作
我想午安,聊天
請幫我請教我查詢登入使用者的方法,教學
